,Background,Corn,Cotton,Rice,Sorghum,Soybeans,Sunflower,Tobacco,Sweet Corn,Pop or Orn Corn,Barley,Spring Wheat,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Watermelons,Cucumbers,Peas,Tomatoes,Herbs,Clover/Wildflowers,Sod/Grass Seed,Switchgrass,Fallow/Idle Cropland,Peaches,Christmas Trees,Walnuts,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grass/Pasture,Woody Wetlands,Herbaceous Wetlands,Cantaloupes,Squash,Dbl Crop WinWht/Corn,Pumpkins,Dbl Crop WinWht/Sorghum,Dbl Crop Soybeans/Oats,Dbl Crop Corn/Soybeans,Cabbage
Woody Wetlands,,0.0012432414859258113,,,3.363141981765044e-06,0.0017723758243901784,,,,6.726283963530088e-06,,,2.0178851890590265e-05,1.1770996936177655e-05,1.0089425945295132e-05,,,2.6344612190492846e-05,3.082880149951291e-05,,,,,1.5694662581570206e-05,,,,,,,,,,0.00043608741030220073,,,,,0.007624803396324983,1.7376233572452728e-05,4.484189309020059e-06,1.681570990882522e-06,1.1210473272550147e-06,0.00010369687777108886,0.2671360491825883,0.0009321508526125448,0.0028244787410190097,7.903383657147854e-05,0.004148435634507182,0.7067413059977153,0.006808680942083332,,,,,,,,
Herbaceous Wetlands,,0.061757140168282806,,3.485559327705317e-05,6.971118655410634e-06,0.05004566082719294,,,2.09133559662319e-05,0.00038341152604758484,3.485559327705317e-06,,0.000780765289405991,0.0005158627805003869,,1.7427796638526584e-05,3.485559327705317e-06,0.00034507037344282636,0.00036249817008135297,,,3.485559327705317e-06,3.485559327705317e-06,3.485559327705317e-06,,,,,,,,3.485559327705317e-06,,0.038107620129802226,,,,,0.20696554176048632,2.439891529393722e-05,6.971118655410634e-06,,,0.0005855739670544933,0.024280406276795237,2.439891529393722e-05,0.00011850901714198077,0.00011502345781427546,0.096103841783491,0.03447566731033329,0.48486918695843123,,,6.971118655410634e-06,1.045667798311595e-05,1.045667798311595e-05,,,3.485559327705317e-06
Triticale,,0.2,,,,0.022222222222222223,,,,,,,0.06666666666666667,,,,,0.2222222222222222,,,,,,,,,,,,,,,,0.022222222222222223,,,,,,,,,,,,,,,0.4666666666666667,,,,,,,,,,
Peppers,,0.02443609022556391,,,,0.08834586466165413,,,0.0018796992481203006,,,,0.009398496240601503,,,,,,,,,,,,,,,,,0.005639097744360902,,,,0.0018796992481203006,,,,,,0.007518796992481203,0.4906015037593985,0.06578947368421052,0.016917293233082706,0.11654135338345864,,,,,0.17105263157894737,,,,,,,,,,
Nectarines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Greens,,0.018518518518518517,,,,0.12962962962962962,,,,,,,,,,,,0.05555555555555555,0.009259259259259259,,,,,,,,,,,,,,,0.037037037037037035,,,,,,,,,,0.14814814814814814,,,,,0.6018518518518519,,,,,,,,,,
Strawberries,,0.08333333333333333,,,,0.125,,,,,,,,,,,,,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,,,0.041666666666666664,,,,,0.625,,,,,,,,,,
Squash,,0.6645161290322581,,,,0.08387096774193549,,,,0.03870967741935484,,,0.06451612903225806,0.01935483870967742,,,,,,,,,,,,,,,,,,,,0.01935483870967742,,,,,0.0064516129032258064,,,,,,,,,,0.07096774193548387,,0.01935483870967742,,,,,,,,0.012903225806451613
Vetch,,0.0297029702970297,,,,0.1485148514851485,,,,,,,,0.04950495049504951,,,,0.019801980198019802,0.019801980198019802,,,,,,,,,,,,,,,0.0297029702970297,,,,,,,,,,,,,,,0.7029702970297029,,,,,,,,,,
Dbl Crop WinWht/Corn,,0.48852833058689316,,,0.0005070351121815186,0.4520218025098238,,,,0.0015211053365445557,,,0.002788693116998352,0.015718088477627075,,,,0.00012675877804537965,,,,0.0044365572315882874,,,,,,,,,,,,0.004056280897452149,,,,,0.0026619343389529724,0.005070351121815185,,,,0.0015211053365445557,,,,,0.017239193814171633,,0.0003802763341361389,,,0.0034224870072252504,,,,,
Dbl Crop Oats/Corn,,0.09433962264150944,,,,0.5660377358490566,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33962264150943394,,,,,,,,,,,,,,,,,,,,,,,,,
Pumpkins,,0.5715964531177664,,,0.00017805633702503473,0.12962501335422527,,,0.005733414052206118,0.1312987429222606,,,0.019728642142373846,0.03959972935436772,3.5611267405006946e-05,7.122253481001389e-05,,0.0008546704177201667,0.00042733520886008335,,,0.0002492788718350486,0.0006053915458851181,,,,,,3.5611267405006946e-05,,,7.122253481001389e-05,,0.01445817456643282,,,,,3.5611267405006946e-05,0.009187706990491791,,7.122253481001389e-05,0.00010683380221502084,0.002457177450945479,,,,,0.060859655995156865,,7.122253481001389e-05,,3.5611267405006946e-05,,0.012606388661372458,,,,
Dbl Crop WinWht/Sorghum,,0.271770978433162,,,0.0006244296075700082,0.6361016379268937,,,,9.606609347230895e-05,,,0.0007685287477784716,0.003746577645420049,,,,4.8033046736154476e-05,0.00024016523368077238,,,,,,,,,,,,4.8033046736154476e-05,9.606609347230895e-05,,0.00965464239396705,,,,,0.0005283635140976992,0.012584658244872472,0.00024016523368077238,,,0.00048033046736154476,0.002449685383543878,,,,0.05888851529852539,0.0003362313271530813,0.0012488592151400164,,,,,4.8033046736154476e-05,,,
Dbl Crop Soybeans/Oats,,0.7521367521367521,,,,0.05128205128205128,,,,,,,,,,,,,0.03418803418803419,,,,,,,,,,,,,,,0.03418803418803419,,,,,,,,,,,,,,,0.1282051282051282,,,,,,,,,,
Dbl Crop Corn/Soybeans,,0.4369747899159664,,,,0.5210084033613446,,,,,,,0.008403361344537815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008403361344537815,,,,,0.025210084033613446,,,,,,,,,,
Cabbage,,0.20485175202156333,,,,0.03504043126684636,,,0.22641509433962265,0.005390835579514825,,,0.0026954177897574125,,,,,,,,,0.40970350404312667,,,,,,,,,,,,,,,,,0.029649595687331536,,,,,0.0026954177897574125,0.0026954177897574125,,,,0.05121293800539083,0.0026954177897574125,,,,,,,,,0.026954177897574125
Turnips,,0.11363636363636363,,,,0.20454545454545456,,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5909090909090909,,,,,,,,,,
Gourds,,0.05295315682281059,,,,0.32382892057026474,,,,,,,0.059063136456211814,0.06313645621181263,,,,,0.002036659877800407,,,,,,,,,,,,,,,0.2668024439918534,,,,,0.002036659877800407,,,,,0.002036659877800407,,,,,0.22810590631364563,,,,,,,,,,
Dbl Crop Barley/Soybeans,,0.7021276595744681,,,,0.06382978723404255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23404255319148937,,,,,,,,,,
